Session campaign,Page path + query string,Encoded requestid,Decoded request_id,Ecommerce purchases
Michelin - PMax PH,/complete-order?requestid=MzgxNzc%3D,MzgxNzc%3D,38177,1
Michelin - PMax PH,/complete-order?requestid=MzgxODQ=,MzgxODQ=,38184,1
BFG - PMax (Traffic),/complete-order?requestid=MzgyMDY=,MzgyMDY=,38206,1
Michelin - PMax PH,/complete-order?requestid=MzgyMjU=,MzgyMjU=,38225,1
BFG - PMax (Traffic),/complete-order?requestid=MzgyNTY=,MzgyNTY=,38256,1
Michelin - PMax PH,/complete-order?requestid=MzgyNjE=,MzgyNjE=,38261,1
Michelin - PMax PH,/complete-order?requestid=MzgyNzk=,MzgyNzk=,38279,1
Michelin - PMax PH,/complete-order?requestid=MzgzMTc=,MzgzMTc=,38317,1
Michelin - PMax PH,/complete-order?requestid=MzgzNjI=,MzgzNjI=,38362,1
(cross-network),/complete-order?requestid=MzgzNjU=,MzgzNjU=,38365,1
Michelin - PMax PH,/complete-order?requestid=Mzc4MjA=,Mzc4MjA=,37820,1
