Session campaign,Page path + query string,Ecommerce purchases
(direct),/complete-order?requestid=Mzk0Nzk=,1
(organic),/complete-order?requestid=Mzk0ODc=,1
(organic),/complete-order?requestid=Mzk1NjQ=,1
(organic),/complete-order?requestid=Mzk1NzU=,1
(organic),/complete-order?requestid=Mzk1ODA=,1
(organic),/complete-order?requestid=Mzk1OTE=,1
(direct),/complete-order?requestid=Mzk2Mzk=,1
(organic),/complete-order?requestid=Mzk2NDI=,1
(organic),/complete-order?requestid=Mzk2ODA=,1
(direct),/complete-order?requestid=Mzk3Mjc=,1
(direct),/complete-order?requestid=Mzk3NDk=,1
(direct),/complete-order?requestid=Mzk3ODA=,1
(direct),/complete-order?requestid=Mzk3ODE=,1
(direct),/complete-order?requestid=Mzk4Mjk=,1
(organic),/complete-order?requestid=Mzk4NTk=,1
(direct),/complete-order?requestid=Mzk4NjM=,1
(direct),/complete-order?requestid=Mzk4OTQ=,1
(direct),/complete-order?requestid=MzkwMDQ=,1
(organic),/complete-order?requestid=MzkwMTI=,1
(organic),/complete-order?requestid=MzkwMTU=,1
(direct),/complete-order?requestid=MzkwMTg=,1
(organic),/complete-order?requestid=MzkwNDI=,1
(direct),/complete-order?requestid=MzkwNTI=,1
(direct),/complete-order?requestid=MzkwNTM=,1
(organic),/complete-order?requestid=MzkwNjE=,1
(organic),/complete-order?requestid=MzkwNjY=,1
(organic),/complete-order?requestid=MzkwNzE=,1
(organic),/complete-order?requestid=MzkwODE=,1
(organic),/complete-order?requestid=MzkwODU=,1
(direct),/complete-order?requestid=MzkwODg=,1
(direct),/complete-order?requestid=MzkxMjQ=,1
(direct),/complete-order?requestid=MzkxMjk=,1
(direct),/complete-order?requestid=MzkxMzE=,1
(organic),/complete-order?requestid=MzkxNDg=,1
(direct),/complete-order?requestid=MzkxNTE=,1
(direct),/complete-order?requestid=MzkxNjA=,1
(direct),/complete-order?requestid=MzkyMDE=,1
(direct),/complete-order?requestid=MzkyMTc=,1
(organic),/complete-order?requestid=MzkyMjA=,1
(direct),/complete-order?requestid=MzkyMjY=,1
(direct),/complete-order?requestid=MzkyNTc=,1
(organic),/complete-order?requestid=MzkyNzg=,1
(organic),/complete-order?requestid=MzkyOTk=,1
(organic),/complete-order?requestid=MzkzMDg=,1
(direct),/complete-order?requestid=MzkzMTU=,1
(organic),/complete-order?requestid=MzkzMTg=,1
(direct),/complete-order?requestid=MzkzMzg=,1
(organic),/complete-order?requestid=MzkzNTE=,1
(direct),/complete-order?requestid=MzkzNjE=,1
(organic),/complete-order?requestid=MzkzNzk=,1
(organic),/complete-order?requestid=MzkzODI=,1
