Campaign,Cost,Total users,cost per purchase,Sessions,Add to carts,Checkouts,Purchase
All Brand - PMax PH,"₱28,491.25","35,889","₱1,055.23","40,757","1,165",78,27
BFG Advantage Touring – PMax PH,"₱28,485.14","50,691","₱2,034.65","58,564",955,71,14
Michelin - PMax PH,"₱28,500.64","15,080",₱239.5,"17,278","3,825",396,119
SRC | All Brands | PH,"₱15,200.15","2,816","₱1,520.01","3,140",861,42,10
BFG - PMax (Traffic),"₱10,347.32","16,656",₱795.95,"18,614",605,46,13
Gulongph Branding - PMax,"₱8,094.7","15,193","₱1,618.94","17,246",512,26,5
