Gulong.ph Ads & Sales Forecast | August Baseline to December 2026,,,,,,,,,,,
,,,,,,,,,,,
Month,Sales Goal,PMax Daily Budget Each,PMax Monthly Capacity,Search Budget,Approx. Total Ads Budget,Sessions,Total Users,Add to Carts,Checkouts,Purchases,Purchase Growth vs Aug
Aug Actual,₱10.02M,Mixed,Mixed,₱15.2K actual,₱119K actual,"155,599","136,325","7,923",659,188,—
September,₱11M,"₱1,000","₱150,000","₱15,000",~₱157K projected,"170,756","149,605","8,695",724,206,9.6%
October,₱12M,"₱1,100","₱170,500","₱15,500",~₱186K capacity,"186,270","163,200","9,485",789,225,19.7%
November,₱13M,"₱1,200","₱180,000","₱15,000",~₱195K capacity,"201,790","176,800","10,275",855,244,29.8%
December,₱14M+,"₱1,300","₱201,500","₱15,500",~₱217K capacity,"217,310","190,400","11,065",920,263,39.9%
,,,,,,,,,,,
,,,,,,,,,,,
"Forecast basis: August 2026 actual performance is the baseline. Planned PMax daily budget increases monthly: ₱1,000 in September, ₱1,100 in October, ₱1,200 in November, and ₱1,300 in December. Overall funnel targets are aligned to the sales goals (₱11M, ₱12M, ₱13M, ₱14M+). A separate Search budget of ₱500/day is included in monthly capacity. September total is shown as ~₱157K projected because the higher budget did not run from September 1.",,,,,,,,,,,
