Campaign,Cost,Total users,cost per purchase,Sessions,Add to carts,Checkouts,Purchase
All Brand - PMax PH,"₱22,216.16","5,603","₱1,234.23","6,105","1,146",86,18
SRC | All Brands | PH,"₱24,387.85","5,086","₱1,875.99","5,544",999,54,13
SRC | Michelin | PH,"₱20,054.15",67,No data,69,4,0,0
Michelin - PMax PH,"₱18,705.37","5,507",₱550.16,"6,171","1,659",112,34
Michelin PE Japan - PMax PH,"₱9,703.38","1,270","₱4,851.69","1,366",199,10,2
BFG Advantage Touring – PMax PH,₱0,No data,No data,No data,No data,No data,No data
