Campaign,Cost,Total users,cost per purchase,Sessions,Add to carts,Checkouts,Purchase
All Brand - PMax PH,"₱8,622.53","10,786","₱1,724.51","12,515",207,24,5
BFG - PMax (Traffic),"₱4,036.15","8,512",₱672.69,"9,560",312,26,6
BFG Advantage Touring – PMax PH,"₱9,652.42","17,617","₱2,413.11","20,470",319,25,4
Gulongph Branding - PMax,"₱3,838.89","6,263",₱959.72,"7,075",168,12,4
Michelin - PMax PH,"₱8,520.72","7,632",₱370.47,"8,706","1,166",128,23
SRC | All Brands | PH,"₱4,279.66",670,₱534.96,775,304,35,8
