City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Mandaluyong,6,1,0.16666666666666666,14,1,0.07142857142857142,6,0,0.0,11,0,0.0,20,17,-3,-0.15000000000000002,2,0,-2,-1.0,37116.2,0.0,-37116.2
Pasay City,5,0,0.0,17,2,0.11764705882352941,3,0,0.0,12,1,0.08333333333333333,22,15,-7,-0.31818181818181823,2,1,-1,-0.5,23105.4,23670.0,564.6
Batangas City,7,0,0.0,9,0,0.0,5,0,0.0,15,1,0.06666666666666667,16,20,4,0.25,0,1,1,,0.0,16000.0,16000.0
San Fernando,6,0,0.0,14,0,0.0,8,1,0.125,8,1,0.125,20,16,-4,-0.19999999999999996,0,2,2,,0.0,57020.0,57020.0
Pangasinan,5,0,0.0,9,0,0.0,5,0,0.0,15,0,0.0,14,20,6,0.4285714285714286,0,0,0,,0.0,0.0,0.0
Marilao,5,0,0.0,14,0,0.0,5,0,0.0,9,0,0.0,19,14,-5,-0.26315789473684215,0,0,0,,0.0,0.0,0.0
Biñan,4,1,0.25,15,0,0.0,5,0,0.0,8,0,0.0,19,13,-6,-0.3157894736842105,1,0,-1,-1.0,8761.3,0.0,-8761.3
Angeles City,2,0,0.0,11,0,0.0,6,0,0.0,10,0,0.0,13,16,3,0.23076923076923084,0,0,0,,0.0,0.0,0.0
Cagayan De Oro,5,0,0.0,11,0,0.0,3,0,0.0,9,0,0.0,16,12,-4,-0.25,0,0,0,,0.0,0.0,0.0
San Mateo,6,0,0.0,11,0,0.0,3,0,0.0,8,0,0.0,17,11,-6,-0.3529411764705882,0,0,0,,0.0,0.0,0.0
Malabon,5,0,0.0,8,0,0.0,3,0,0.0,11,1,0.09090909090909091,13,14,1,0.07692307692307687,0,1,1,,0.0,23206.8,23206.8
Bataan,0,0,0.0,12,0,0.0,5,0,0.0,9,0,0.0,12,14,2,0.16666666666666674,0,0,0,,0.0,0.0,0.0
Malolos,3,0,0.0,13,0,0.0,2,0,0.0,8,2,0.25,16,10,-6,-0.375,0,2,2,,0.0,30812.1,30812.1
Nueva Ecija,1,0,0.0,12,0,0.0,6,0,0.0,7,0,0.0,13,13,0,0.0,0,0,0,,0.0,0.0,0.0
San Jose Del Monte,3,0,0.0,13,0,0.0,6,0,0.0,4,1,0.25,16,10,-6,-0.375,0,1,1,,0.0,11380.0,11380.0
Silang,5,0,0.0,9,1,0.1111111111111111,4,0,0.0,8,0,0.0,14,12,-2,-0.1428571428571429,1,0,-1,-1.0,62760.0,0.0,-62760.0
Tarlac City,2,0,0.0,10,1,0.1,6,0,0.0,8,1,0.125,12,14,2,0.16666666666666674,1,1,0,0.0,14550.0,20389.4,5839.4
San Pablo City,1,0,0.0,9,2,0.2222222222222222,2,0,0.0,13,0,0.0,10,15,5,0.5,2,0,-2,-1.0,33070.0,0.0,-33070.0
