City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Visayas,0,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,3,2,-1,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Albay,0,0,0.0,0,0,0.0,1,0,0.0,3,1,0.3333333333333333,0,4,4,,0,1,1,,0.0,6687.5,6687.5
Amadeo,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,2,2,0,0.0,1,0,-1,-1.0,14000.0,0.0,-14000.0
Apalit,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Balayan,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Baler,1,0,0.0,2,1,0.5,1,0,0.0,0,0,0.0,3,1,-2,-0.6666666666666667,1,0,-1,-1.0,11616.2,0.0,-11616.2
Bay,1,0,0.0,1,0,0.0,2,0,0.0,0,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Biñan City,1,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
Cagayan,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Dumaguete City,0,0,0.0,3,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Guimba,0,0,0.0,2,0,0.0,0,0,0.0,2,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Ilocos,1,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Infanta,1,1,1.0,0,0,0.0,2,0,0.0,1,0,0.0,1,3,2,2.0,1,0,-1,-1.0,16369.2,0.0,-16369.2
Laoag City,0,0,0.0,0,0,0.0,1,0,0.0,3,0,0.0,0,4,4,,0,0,0,,0.0,0.0,0.0
Legazpi City,1,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Magalang,0,0,0.0,3,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Magallanes,2,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Malolos City,1,0,0.0,2,1,0.5,1,0,0.0,0,0,0.0,3,1,-2,-0.6666666666666667,1,0,-1,-1.0,8791.2,0.0,-8791.2
Marawi City,0,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
Marinduque,1,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Munoz,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Negros,1,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,4,0,-4,-1.0,0,0,0,,0.0,0.0,0.0
Novaliches,2,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Ormoc,0,0,0.0,1,0,0.0,2,0,0.0,1,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
Palawan,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Palayan City,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Pateros,1,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Pila,0,0,0.0,0,0,0.0,2,0,0.0,2,0,0.0,0,4,4,,0,0,0,,0.0,0.0,0.0
Plaridel,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Porac,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Rizal Area,0,0,0.0,0,0,0.0,1,0,0.0,3,0,0.0,0,4,4,,0,0,0,,0.0,0.0,0.0
Roxas,0,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
San Jose Del Monte City,1,0,0.0,0,0,0.0,3,0,0.0,0,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
San Pascual,0,0,0.0,3,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Santa Rosa City,1,0,0.0,0,0,0.0,2,0,0.0,1,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
Sucat,0,0,0.0,1,0,0.0,1,0,0.0,2,0,0.0,1,3,2,2.0,0,0,0,,0.0,0.0,0.0
Surigao City,1,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Taal,2,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,3,1,-2,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Trece Martires City,2,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Valencia City,0,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,2,2,0,0.0,0,0,0,,0.0,0.0,0.0
Agoncillo,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Alaminos,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Balanga,0,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Bongabon,0,0,0.0,0,0,0.0,1,0,0.0,2,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Bulakan,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Bustos,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Calasiao,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Catarman,0,0,0.0,1,0,0.0,0,0,0.0,2,1,0.5,1,2,1,1.0,0,1,1,,0.0,25879.6,25879.6
Cauayan City,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Compostela,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Cotabato,0,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Dagupan City,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Dinalupihan,0,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Gapan City,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Gensan,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Gma,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Guagua,0,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Guiguinto,0,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Hermosa,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Las Pinas City,0,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,2,1,1.0,1,0,-1,-1.0,13871.0,0.0,-13871.0
Legazpi,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Leyte Po,1,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Lingayen,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Location Pls.,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Location Sir,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Mabini,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Mexico,1,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Naguilian,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Nasugbu,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Negros Occidental,1,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Norzagaray,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Nyo Po,0,0,0.0,1,0,0.0,2,0,0.0,0,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Oriental Mindoro,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Padre Garcia,0,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Pagudpud,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Pampanga Area,0,0,0.0,0,0,0.0,0,0,0.0,3,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Pandi,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Pili,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Rosales,0,0,0.0,0,0,0.0,1,0,0.0,2,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Sablayan,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
San Ildefonso,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
San Jose City,1,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
San Miguel,0,0,0.0,1,0,0.0,0,0,0.0,2,1,0.5,1,2,1,1.0,0,1,1,,0.0,27500.0,27500.0
San Rafael,0,0,0.0,0,0,0.0,2,0,0.0,1,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Sariaya,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Sta. Maria,0,0,0.0,1,0,0.0,0,0,0.0,2,1,0.5,1,2,1,1.0,0,1,1,,0.0,13000.0,13000.0
Sta. Rosa,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Store Location,0,0,0.0,1,0,0.0,0,0,0.0,2,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Tagbilaran City,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Talisay,1,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,3,0,-3,-1.0,0,0,0,,0.0,0.0,0.0
Tayabas,1,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,1,2,1,1.0,0,0,0,,0.0,0.0,0.0
Tuguegarao,0,0,0.0,2,0,0.0,0,0,0.0,1,0,0.0,2,1,-1,-0.5,0,0,0,,0.0,0.0,0.0
Vigan City,0,0,0.0,0,0,0.0,2,0,0.0,1,0,0.0,0,3,3,,0,0,0,,0.0,0.0,0.0
Agoo,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Agusan Del Sur,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Alabang,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Alaminos City,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Alicia,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Alitagtag,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Angat,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Appolo,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Bacolor,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Balagtas,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Bambang,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Bani,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Baras,1,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,1,0,-1,-1.0,9641.8,0.0,-9641.8
Batangas Area,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Bayambang,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Bayombong,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Benguet,0,0,0.0,0,0,0.0,0,0,0.0,2,1,0.5,0,2,2,,0,1,1,,0.0,47040.0,47040.0
Bikol,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Bislig City,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Bolinao,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Bontoc,0,0,0.0,1,1,1.0,0,0,0.0,1,0,0.0,1,1,0,0.0,1,0,-1,-1.0,28785.2,0.0,-28785.2
Bos,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Bulacan Po,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Calabarzon,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Calapan City,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Calatagan,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Camarines Norte,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Candaba,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Clark,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Commonwealth,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Concepcion,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Consolacion,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Cuenca,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Daanbantayan,0,0,0.0,1,1,1.0,0,0,0.0,1,0,0.0,1,1,0,0.0,1,0,-1,-1.0,39013.4,0.0,-39013.4
Daraga,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Dasma,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Dipolog,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
El Nido,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Fairview,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Floridablanca,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Gapan,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Gen. Trias,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
General Mariano Alvarez,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Guimaras,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Ilagan,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Iligan,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Jolo,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Kidapawan City,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Kolambugan,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
La Trinidad,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Laguna Po,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Lanao Del Norte,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Lapu-Lapu,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Laurel,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Legaspi,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Lian,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Limay,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Loc Nyo Po,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Loc.,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Loc.Po,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Location Boss,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Location Nio,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Location Pls Ty,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Location Po Ninyo,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Location.,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Lumban,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Malaybalay,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Mandaue,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Mendez,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Meycauayan City,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Minalin,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Naval,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Navotas City,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Northern Samar,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Nueva Ecija Po,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Oroquieta City,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Ozamis City,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Ozamiz City,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Pagsanjan,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Pangasinan Po,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Pantukan,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Pililla,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Po,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Qc,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Rizal Po,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Romblon,0,0,0.0,0,0,0.0,2,1,0.5,0,0,0.0,0,2,2,,0,1,1,,0.0,42874.0,42874.0
San Carlos City,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
San Isidro,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
San Simon,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Santa Barbara,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Siargao,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Sorsogon,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
South Cotabato,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Southern Leyte,1,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Tagbilaran,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Tagum,0,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,2,2,,0,0,0,,0.0,0.0,0.0
Talavera,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Tayabas City,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Taysan,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Tondo,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Vigan,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Villasis,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
Virac,0,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
West Lake,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Your Location,1,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,1,1,0,0.0,0,0,0,,0.0,0.0,0.0
Zamboanga Sibugay,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,2,0,-2,-1.0,0,0,0,,0.0,0.0,0.0
#14,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
4 An Gulong,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Abra Coldilleara,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
