City,June Purchases,July Purchases,Purchase Change,Purchase Growth Rate,June Purchase Share,July Purchase Share,Purchase Share Change (pp),June Total Users,July Total Users,User Change,User Growth Rate,June Purchase per User,July Purchase per User,Rate Change (pp),June Purchase Rank,July Purchase Rank,Rank Improvement
Muntinlupa,3,2,-1,-0.33333333333333337,0.014150943396226415,0.007168458781362007,-0.006982484614864408,785,677,-108,-0.13757961783439487,0.003821656050955414,0.0029542097488921715,-0.0008674463020632425,19,38,-19
Lipa City,2,2,0,0.0,0.009433962264150943,0.007168458781362007,-0.002265503482788936,1378,1098,-280,-0.20319303338171257,0.001451378809869376,0.0018214936247723133,0.0003701148149029374,23,31,-8
Los Banos,1,2,1,1.0,0.0047169811320754715,0.007168458781362007,0.0024514776492865356,228,126,-102,-0.4473684210526315,0.0043859649122807015,0.015873015873015872,0.01148705096073517,45,32,13
Mambajao,1,2,1,1.0,0.0047169811320754715,0.007168458781362007,0.0024514776492865356,30,79,49,1.6333333333333333,0.03333333333333333,0.02531645569620253,-0.008016877637130802,46,36,10
Taytay,1,2,1,1.0,0.0047169811320754715,0.007168458781362007,0.0024514776492865356,410,343,-67,-0.1634146341463415,0.0024390243902439024,0.0058309037900874635,0.003391879399843561,56,41,15
Binan,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,499,499,,0,0.004008016032064128,0.004008016032064128,65,28,37
Cabuyao City,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,195,195,,0,0.010256410256410256,0.010256410256410256,66,29,37
Lucena City,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,476,476,,0,0.004201680672268907,0.004201680672268907,77,33,44
Mabalacat City,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,258,258,,0,0.007751937984496124,0.007751937984496124,78,34,44
Malolos,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,603,603,,0,0.003316749585406302,0.003316749585406302,81,35,46
Olongapo City,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,750,750,,0,0.0026666666666666666,0.0026666666666666666,84,39,45
San Jose,0,2,2,,0.0,0.007168458781362007,0.007168458781362007,0,57,57,,0,0.03508771929824561,0.03508771929824561,89,40,49
San Pedro,4,1,-3,-0.75,0.018867924528301886,0.0035842293906810036,-0.015283695137620883,428,412,-16,-0.03738317757009346,0.009345794392523364,0.0024271844660194173,-0.0069186099265039465,15,68,-53
Bacolod,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,1210,612,-598,-0.4942148760330578,0.0008264462809917355,0.0016339869281045752,0.0008075406471128397,29,43,-14
Cabanatuan City,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,602,502,-100,-0.1661129568106312,0.0016611295681063123,0.00199203187250996,0.0003309023044036478,33,47,-14
Iligan City,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,423,165,-258,-0.6099290780141844,0.002364066193853428,0.006060606060606061,0.0036965398667526328,39,57,-18
Jeddah,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,31,38,7,0.22580645161290325,0.03225806451612903,0.02631578947368421,-0.005942275042444822,41,58,-17
San Juan,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,56,74,18,0.3214285714285714,0.017857142857142856,0.013513513513513514,-0.004343629343629342,50,67,-17
Trece Martires City,1,1,0,0.0,0.0047169811320754715,0.0035842293906810036,-0.001132751741394468,211,174,-37,-0.17535545023696686,0.004739336492890996,0.005747126436781609,0.0010077899438906135,57,72,-15
Amsterdam,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,18,18,,0,0.05555555555555555,0.05555555555555555,60,42,18
Bagsværd,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,1,1,,0,1.0,1.0,61,44,17
Baliwag,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,296,296,,0,0.0033783783783783786,0.0033783783783783786,63,45,18
Bilbao,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,1,1,,0,1.0,1.0,64,46,18
Cadiz City,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,19,19,,0,0.05263157894736842,0.05263157894736842,67,48,19
Cuenca,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,35,35,,0,0.02857142857142857,0.02857142857142857,68,49,19
Dapitan City,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,10,10,,0,0.1,0.1,69,50,19
Doha,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,85,85,,0,0.011764705882352941,0.011764705882352941,70,51,19
Dubai,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,77,77,,0,0.012987012987012988,0.012987012987012988,71,52,19
Fuchu,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,2,2,,0,0.5,0.5,72,53,19
General Luna,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,222,222,,0,0.0045045045045045045,0.0045045045045045045,73,54,19
General Santos City,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,255,255,,0,0.00392156862745098,0.00392156862745098,74,55,19
Hong Kong,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,144,144,,0,0.006944444444444444,0.006944444444444444,75,56,19
Lobo,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,25,25,,0,0.04,0.04,76,59,17
Magalang,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,63,63,,0,0.015873015873015872,0.015873015873015872,79,60,19
Malabon,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,79,79,,0,0.012658227848101266,0.012658227848101266,80,61,19
Mandaue,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,222,222,,0,0.0045045045045045045,0.0045045045045045045,82,62,20
Naic,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,92,92,,0,0.010869565217391304,0.010869565217391304,83,63,20
Panglao,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,53,53,,0,0.018867924528301886,0.018867924528301886,85,64,21
Prosperidad,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,4,4,,0,0.25,0.25,86,65,21
Rumaithiya,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,1,1,,0,1.0,1.0,87,66,21
Sariaya,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,166,166,,0,0.006024096385542169,0.006024096385542169,91,69,22
Subic,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,64,64,,0,0.015625,0.015625,93,70,23
Sydney,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,24,24,,0,0.041666666666666664,0.041666666666666664,94,71,23
Valenzuela,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,315,315,,0,0.0031746031746031746,0.0031746031746031746,95,73,22
Winnipeg,0,1,1,,0.0,0.0035842293906810036,0.0035842293906810036,0,4,4,,0,0.25,0.25,96,74,22
Binangonan,2,0,-2,-1.0,0.009433962264150943,0.0,-0.009433962264150943,514,0,-514,-1.0,0.0038910505836575876,0,-0.0038910505836575876,21,77,-56
Lapu-Lapu,2,0,-2,-1.0,0.009433962264150943,0.0,-0.009433962264150943,672,0,-672,-1.0,0.002976190476190476,0,-0.002976190476190476,22,84,-62
Santo Tomas,2,0,-2,-1.0,0.009433962264150943,0.0,-0.009433962264150943,363,0,-363,-1.0,0.005509641873278237,0,-0.005509641873278237,27,90,-63
Alcala,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,42,0,-42,-1.0,0.023809523809523808,0,-0.023809523809523808,28,75,-47
Bandar Seri Begawan,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,5,0,-5,-1.0,0.2,0,-0.2,30,76,-46
Bogota,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,5,0,-5,-1.0,0.2,0,-0.2,32,78,-46
Camalig,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,29,0,-29,-1.0,0.034482758620689655,0,-0.034482758620689655,35,79,-44
General Mariano Alvarez,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,132,0,-132,-1.0,0.007575757575757576,0,-0.007575757575757576,36,80,-44
Gothenburg,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,1,0,-1,-1.0,1.0,0,-1.0,37,81,-44
Haiphong,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,3,0,-3,-1.0,0.3333333333333333,0,-0.3333333333333333,38,82,-44
Ilog,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,11,0,-11,-1.0,0.09090909090909091,0,-0.09090909090909091,40,83,-43
Legazpi City,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,412,0,-412,-1.0,0.0024271844660194173,0,-0.0024271844660194173,42,85,-43
Libmanan,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,66,0,-66,-1.0,0.015151515151515152,0,-0.015151515151515152,43,86,-43
Linamon,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,4,0,-4,-1.0,0.25,0,-0.25,44,87,-43
Meycauayan,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,821,0,-821,-1.0,0.001218026796589525,0,-0.001218026796589525,47,88,-41
Nangang District,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,1,0,-1,-1.0,1.0,0,-1.0,48,89,-41
Sharjah,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,23,0,-23,-1.0,0.043478260869565216,0,-0.043478260869565216,51,91,-40
Skagway,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,2,0,-2,-1.0,0.5,0,-0.5,52,92,-40
Tagaytay City,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,240,0,-240,-1.0,0.004166666666666667,0,-0.004166666666666667,53,93,-40
Tarlac City,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,1103,0,-1103,-1.0,0.0009066183136899365,0,-0.0009066183136899365,55,94,-39
Virac,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,115,0,-115,-1.0,0.008695652173913044,0,-0.008695652173913044,58,95,-37
Zhongzheng District,1,0,-1,-1.0,0.0047169811320754715,0.0,-0.0047169811320754715,3,0,-3,-1.0,0.3333333333333333,0,-0.3333333333333333,59,96,-37
