product_id,section_width,aspect_ratio,rim_diameter,size_display,is_light_truck,updated_at
12357,275,40,19,275/40 R19,false,2026-07-14T06:10:45
12360,245,45,18,245/45 R18,false,2026-07-14T06:10:45
12361,215,50,18,215/50 R18,false,2026-07-14T06:10:45
12368,225,40,18,225/40 R18,false,2026-07-14T06:10:45
12370,245,45,18,245/45 R18,false,2026-07-14T06:10:45
12371,215,60,17,215/60 R17,false,2026-07-14T06:10:45
12372,225,75,15,225/75 R15,false,2026-07-14T06:10:45
12373,235,75,15,235/75 R15,false,2026-07-14T06:10:45
12374,175,80,16,175/80 R16,false,2026-07-14T06:10:45
12375,235,65,17,235/65 R17,false,2026-07-14T06:10:45
12376,275,65,17,275/65 R17,false,2026-07-14T06:10:45
12377,235,60,18,235/60 R18,false,2026-07-14T06:10:45
12378,265,65,18,265/65 R18,false,2026-07-14T06:10:45
12379,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12380,265,60,20,265/60 R20,false,2026-07-14T06:10:45
12381,285,50,20,285/50 R20,false,2026-07-14T06:10:45
12382,195,80,15,195/80 R15,false,2026-07-14T06:10:45
12383,255,70,15,255/70 R15,false,2026-07-14T06:10:45
12384,215,65,16,215/65 R16,false,2026-07-14T06:10:45
12385,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12386,215,60,17,215/60 R17,false,2026-07-14T06:10:45
12387,225,65,17,225/65 R17,false,2026-07-14T06:10:45
12388,225,60,17,225/60 R17,false,2026-07-14T06:10:45
12389,245,65,17,245/65 R17,false,2026-07-14T06:10:45
1239,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12390,265,65,17,265/65 R17,false,2026-07-14T06:10:45
12391,285,70,17,285/70 R17,false,2026-07-14T06:10:45
12392,255,70,18,255/70 R18,false,2026-07-14T06:10:45
12393,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12394,265,70,18,265/70 R18,false,2026-07-14T06:10:45
12395,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12396,225,55,18,225/55 R18,false,2026-07-14T06:10:45
12397,265,65,17,265/65 R17,false,2026-07-14T06:10:45
12398,195,80,15,195/80 R15,false,2026-07-14T06:10:45
12399,215,65,16,215/65 R16,false,2026-07-14T06:10:45
12400,235,70,16,235/70 R16,false,2026-07-14T06:10:45
12401,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12402,265,75,16,265/75 R16,false,2026-07-14T06:10:45
12403,265,70,17,265/70 R17,false,2026-07-14T06:10:45
12404,285,70,17,285/70 R17,false,2026-07-14T06:10:45
12405,285,60,18,285/60 R18,false,2026-07-14T06:10:45
12406,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12407,275,55,20,275/55 R20,false,2026-07-14T06:10:45
12408,305,55,20,305/55 R20,false,2026-07-14T06:10:45
12409,275,50,22,275/50 R22,false,2026-07-14T06:10:45
