source_channel,Session campaign,Page path + query string,Ecommerce purchases,decoded_order_id,match_status,_ingest_loaded_at,brand,customer_source_raw,date_updated,gross_sales_amount,is_excluded_test_order,is_fulfilled_order,is_fulfillment_success_order,is_non_cancelled_order,net_sales_amount,order_date,order_status_raw,payment_status_raw,quantity_int,sku,fulfilled_net_revenue,exclusion_reason
Google Ads,Michelin - PMax PH,/complete-order?requestid=Mzg5NTk=,2,38959,Matched,2026-09-25 02:00:22,MICHELIN,Website,2026-09-22T16:14:00,30300,false,true,true,true,27053.57,2026-08-31T18:55:00,Fulfilled,Fully Paid,4,MICHELIN 195/60/R16 PRIMACY 5 93V,27053.57,Outside September 1–24
Direct & Organic,(direct),/complete-order?requestid=Mzk5MDA=,2,39900,Unmatched,,,,,,,,,,,,,,,,,Unmatched order; date and revenue unknown
Direct & Organic,(direct),/complete-order?requestid=MzkxMDk=,2,39109,Unmatched,,,,,,,,,,,,,,,,,Unmatched order; date and revenue unknown
Direct & Organic,(direct),/complete-order?requestid=Mzg4MDU=,2,38805,Matched,2026-09-25 02:00:22,MICHELIN,CALL,2026-09-18T09:53:00,60675,false,true,true,true,54174.11,2026-08-26T14:54:00,Fulfilled,Fully Paid,4,MICHELIN 225/45/ZR19 PILOT SPORT 5 96Y XL TL,54174.11,Outside September 1–24
Direct & Organic,(direct),/complete-order?requestid=MzkwNTI=,1,39052,Unmatched,,,,,,,,,,,,,,,,,Unmatched order; date and revenue unknown
